,FIPS Code,State_x,Area name_x,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,City/Suburb/Town/Rural 2013,"< HS Diploma, 1970","HS Diploma, 1970","Some college, 1970",">= Bachelors, 1970","% < HS Diploma, 1970","% HS Diploma, 1970","% Some College, 1970","% >= Bachelors, 1970","< HS Diploma, 1980","HS Diploma, 1980","Some college, 1980",">= Bachelors, 1980","% < HS Diploma, 1980","% HS Diploma, 1980","% Some College, 1980","% >= Bachelors, 1980","< HS Diploma, 1990","HS Diploma, 1990","Some college, 1990",">= Bachelors, 1990","% < HS Diploma, 1990","% HS Diploma, 1990","% Some College, 1990","% >= Bachelors, 1990","< HS Diploma, 2000","HS Diploma, 2000","Some college, 2000",">= Bachelors, 2000","% < HS Diploma, 2000","% HS Diploma, 2000","% Some College, 2000","% >= Bachelors, 2000","< HS Diploma, 2015-19","HS Diploma, 2015-19","Some college, 2015-19",">= Bachelors, 2015-19","% < HS Diploma, 2015-19","% HS Diploma, 2015-19","% Some College, 2015-19","% >= Bachelors, 2015-19",State_y,Area name_y,Rural urban continuum code 2013,Urban influence code 2013,City/Suburb/Town/Rural,Metro 2013,Civilian labor force 2000,Employed 2000,Unemployed 2000,Unemployment rate 2000,Civilian labor force 2001,Employed 2001,Unemployed 2001,Unemployment rate 2001,Civilian labor force 2002,Employed 2002,Unemployed 2002,Unemployment rate 2002,Civilian labor force 2003,Employed 2003,Unemployed 2003,Unemployment rate 2003,Civilian labor force 2004,Employed 2004,Unemployed 2004,Unemployment rate 2004,Civilian labor force 2005,Employed 2005,Unemployed 2005,Unemployment rate 2005,Civilian labor force 2006,Employed 2006,Unemployed 2006,Unemployment rate 2006,Civilian labor force 2007,Employed 2007,Unemployed 2007,Unemployment rate 2007,Civilian labor force 2008,Employed 2008,Unemployed 2008,Unemployment rate 2008,Civilian labor force 2009,Employed 2009,Unemployed 2009,Unemployment rate 2009,Civilian labor force 2010,Employed 2010,Unemployed 2010,Unemployment rate 2010,Civilian labor force 2011,Employed 2011,Unemployed 2011,Unemployment rate 2011,Civilian labor force 2012,Employed 2012,Unemployed 2012,Unemployment rate 2012,Civilian labor force 2013,Employed 2013,Unemployed 2013,Unemployment rate 2013,Civilian labor force 2014,Employed 2014,Unemployed 2014,Unemployment rate 2014,Civilian labor force 2015,Employed 2015,Unemployed 2015,Unemployment rate 2015,Civilian labor force 2016,Employed 2016,Unemployed 2016,Unemployment rate 2016,Civilian labor force 2017,Employed 2017,Unemployed 2017,Unemployment rate 2017,Civilian labor force 2018,Employed 2018,Unemployed 2018,Unemployment rate 2018,Civilian labor force 2019,Employed 2019,Unemployed 2019,Unemployment rate 2019,Civilian labor force 2020,Employed 2020,Unemployed 2020,Unemployment rate 2020,Median Household Income 2019,Med HH Income Percent of State Total 2019
0,1007,AL,Bibb County,1.0,1.0,1.0,1.0,City,5272.0,1402.0,238.0,302.0,73.1,19.4,3.3,4.2,5254.0,2611.0,536.0,433.0,59.5,29.6,6.1,4.9,4850.0,3407.0,1332.0,476.0,48.2,33.8,13.2,4.7,4984.0,4838.0,2756.0,962.0,36.8,35.7,20.4,7.1,"3,386","7,256","3,848","1,678",20.9,44.9,23.8,10.4,AL,"Bibb County, AL",1.0,1.0,City,1.0,8623.0,8160.0,463.0,5.4,9134.0,8513.0,621.0,6.8,8961.0,8333.0,628.0,7.0,8871.0,8346.0,525.0,5.9,8851.0,8375.0,476.0,5.4,8837.0,8444.0,393.0,4.4,8858.0,8489.0,369.0,4.2,8810.0,8443.0,367.0,4.2,8751.0,8225.0,526.0,6.0,8696.0,7637.0,1059.0,12.2,8936.0,7931.0,1005.0,11.2,8932.0,8000.0,932.0,10.4,8808.0,8037.0,771.0,8.8,8699.0,8000.0,699.0,8.0,8573.0,7959.0,614.0,7.2,8552.0,7983.0,569.0,6.7,8539.0,7986.0,553.0,6.5,8527.0,8142.0,385.0,4.5,8569.0,8229.0,340.0,4.0,8639.0,8371.0,268.0,3.1,8640.0,8067.0,573.0,6.6,47918.0,92.6
1,1009,AL,Blount County,1.0,1.0,1.0,1.0,City,10677.0,3440.0,626.0,404.0,70.5,22.7,4.1,2.7,11666.0,7011.0,1819.0,1144.0,53.9,32.4,8.4,5.3,9960.0,8763.0,4745.0,1773.0,39.5,34.7,18.8,7.0,9960.0,12136.0,8371.0,3235.0,29.6,36.0,24.8,9.6,"7,763","13,299","13,519","5,210",19.5,33.4,34.0,13.1,AL,"Blount County, AL",1.0,1.0,City,1.0,25266.0,24375.0,891.0,3.5,25450.0,24521.0,929.0,3.7,25836.0,24436.0,1400.0,5.4,26008.0,24812.0,1196.0,4.6,26237.0,25149.0,1088.0,4.1,26378.0,25434.0,944.0,3.6,26799.0,25939.0,860.0,3.2,26683.0,25816.0,867.0,3.2,26693.0,25405.0,1288.0,4.8,26426.0,24005.0,2421.0,9.2,24928.0,22509.0,2419.0,9.7,25124.0,22951.0,2173.0,8.6,24978.0,23216.0,1762.0,7.1,24860.0,23277.0,1583.0,6.4,24571.0,23074.0,1497.0,6.1,24416.0,23089.0,1327.0,5.4,24380.0,23061.0,1319.0,5.4,24656.0,23631.0,1025.0,4.2,24960.0,24086.0,874.0,3.5,25196.0,24516.0,680.0,2.7,24661.0,23653.0,1008.0,4.1,52902.0,102.2
2,1021,AL,Chilton County,1.0,1.0,1.0,1.0,City,10285.0,2805.0,538.0,415.0,73.2,20.0,3.8,3.0,9678.0,5578.0,1518.0,1158.0,54.0,31.1,8.5,6.5,9023.0,6770.0,3438.0,1550.0,43.4,32.6,16.5,7.5,8757.0,9264.0,5307.0,2574.0,33.8,35.8,20.5,9.9,"5,474","13,348","7,401","3,823",18.2,44.4,24.6,12.7,AL,"Chilton County, AL",1.0,1.0,City,1.0,19601.0,18752.0,849.0,4.3,19580.0,18631.0,949.0,4.8,19452.0,18456.0,996.0,5.1,19557.0,18581.0,976.0,5.0,19650.0,18738.0,912.0,4.6,19623.0,18859.0,764.0,3.9,19792.0,19087.0,705.0,3.6,19777.0,19093.0,684.0,3.5,19609.0,18583.0,1026.0,5.2,19393.0,17501.0,1892.0,9.8,19474.0,17502.0,1972.0,10.1,19536.0,17761.0,1775.0,9.1,19396.0,17960.0,1436.0,7.4,19339.0,18052.0,1287.0,6.7,19130.0,17938.0,1192.0,6.2,19089.0,18005.0,1084.0,5.7,19029.0,17982.0,1047.0,5.5,19203.0,18396.0,807.0,4.2,19538.0,18834.0,704.0,3.6,19841.0,19296.0,545.0,2.7,19592.0,18618.0,974.0,5.0,49692.0,96.0
3,1073,AL,Jefferson County,1.0,1.0,1.0,1.0,City,186882.0,101656.0,32182.0,33827.0,52.7,28.7,9.1,9.5,141531.0,132921.0,63342.0,63229.0,35.3,33.1,15.8,15.8,111325.0,120393.0,109272.0,84718.0,26.2,28.3,25.7,19.9,82950.0,121233.0,123142.0,106833.0,19.1,27.9,28.4,24.6,"44,684","118,636","136,299","150,124",9.9,26.4,30.3,33.4,AL,"Jefferson County, AL",1.0,1.0,City,1.0,331141.0,317868.0,13273.0,4.0,327780.0,313445.0,14335.0,4.4,323104.0,306259.0,16845.0,5.2,322328.0,304626.0,17702.0,5.5,320629.0,303868.0,16761.0,5.2,316522.0,302586.0,13936.0,4.4,317080.0,304463.0,12617.0,4.0,315430.0,303023.0,12407.0,3.9,311643.0,294233.0,17410.0,5.6,306180.0,276008.0,30172.0,9.9,318651.0,286248.0,32403.0,10.2,319586.0,290057.0,29529.0,9.2,316771.0,292662.0,24109.0,7.6,315102.0,293809.0,21293.0,6.8,312706.0,293144.0,19562.0,6.3,310158.0,292165.0,17993.0,5.8,308632.0,290887.0,17745.0,5.7,309410.0,295805.0,13605.0,4.4,314427.0,302800.0,11627.0,3.7,316802.0,307648.0,9154.0,2.9,315957.0,296282.0,19675.0,6.2,54127.0,104.6
4,1115,AL,St. Clair County,1.0,1.0,1.0,1.0,City,10304.0,3540.0,666.0,471.0,68.8,23.6,4.4,3.1,11841.0,7947.0,2335.0,1519.0,50.1,33.6,9.9,6.4,12450.0,10492.0,6271.0,2708.0,39.0,32.9,19.6,8.5,12353.0,14921.0,11036.0,4791.0,28.7,34.6,25.6,11.1,"9,488","21,849","20,207","9,880",15.4,35.6,32.9,16.1,AL,"St. Clair County, AL",1.0,1.0,City,1.0,31555.0,30359.0,1196.0,3.8,31855.0,30507.0,1348.0,4.2,32033.0,30392.0,1641.0,5.1,32422.0,30742.0,1680.0,5.2,33124.0,31489.0,1635.0,4.9,33663.0,32335.0,1328.0,3.9,35091.0,33868.0,1223.0,3.5,36117.0,34862.0,1255.0,3.5,36480.0,34586.0,1894.0,5.2,36664.0,33003.0,3661.0,10.0,38296.0,34472.0,3824.0,10.0,38508.0,35152.0,3356.0,8.7,38544.0,35827.0,2717.0,7.0,38792.0,36379.0,2413.0,6.2,38577.0,36367.0,2210.0,5.7,38470.0,36452.0,2018.0,5.2,38757.0,36745.0,2012.0,5.2,39076.0,37473.0,1603.0,4.1,39944.0,38558.0,1386.0,3.5,40698.0,39591.0,1107.0,2.7,40132.0,38146.0,1986.0,4.9,65403.0,126.3
5,1117,AL,Shelby County,1.0,1.0,1.0,1.0,City,12329.0,4731.0,1110.0,1123.0,63.9,24.5,5.8,5.8,13473.0,11735.0,5204.0,6564.0,36.4,31.7,14.1,17.8,13507.0,15884.0,14569.0,17978.0,21.8,25.6,23.5,29.0,12386.0,21671.0,25479.0,34649.0,13.2,23.0,27.1,36.8,"10,658","28,835","43,503","62,431",7.3,19.8,29.9,42.9,AL,"Shelby County, AL",1.0,1.0,City,1.0,82798.0,80512.0,2286.0,2.8,84572.0,82074.0,2498.0,3.0,85927.0,82879.0,3048.0,3.5,88643.0,85521.0,3122.0,3.5,91642.0,88582.0,3060.0,3.3,94460.0,91578.0,2882.0,3.1,98507.0,95835.0,2672.0,2.7,99839.0,97177.0,2662.0,2.7,101102.0,97190.0,3912.0,3.9,99778.0,92685.0,7093.0,7.1,102466.0,95317.0,7149.0,7.0,104209.0,97774.0,6435.0,6.2,105474.0,100036.0,5438.0,5.2,106861.0,101840.0,5021.0,4.7,107413.0,102624.0,4789.0,4.5,107932.0,103362.0,4570.0,4.2,108670.0,103986.0,4684.0,4.3,110987.0,107294.0,3693.0,3.3,114122.0,110895.0,3227.0,2.8,116412.0,113842.0,2570.0,2.2,114048.0,109646.0,4402.0,3.9,77801.0,150.3
6,1127,AL,Walker County,1.0,1.0,1.0,1.0,City,21847.0,6568.0,1651.0,1259.0,69.7,21.0,5.3,4.0,21870.0,12652.0,3136.0,2564.0,54.4,31.5,7.8,6.4,19350.0,14080.0,7436.0,3154.0,44.0,32.0,16.9,7.2,15713.0,16647.0,11183.0,4376.0,32.8,34.7,23.3,9.1,"8,141","16,796","14,765","5,080",18.2,37.5,33.0,11.3,AL,"Walker County, AL",1.0,1.0,City,1.0,31714.0,29851.0,1863.0,5.9,31419.0,29513.0,1906.0,6.1,30778.0,28820.0,1958.0,6.4,30444.0,28485.0,1959.0,6.4,30180.0,28361.0,1819.0,6.0,29693.0,28391.0,1302.0,4.4,29905.0,28556.0,1349.0,4.5,29122.0,27839.0,1283.0,4.4,28764.0,27062.0,1702.0,5.9,28095.0,25092.0,3003.0,10.7,27274.0,23867.0,3407.0,12.5,27076.0,24045.0,3031.0,11.2,26608.0,24107.0,2501.0,9.4,26347.0,24086.0,2261.0,8.6,25796.0,23766.0,2030.0,7.9,25503.0,23650.0,1853.0,7.3,25356.0,23465.0,1891.0,7.5,24836.0,23545.0,1291.0,5.2,25021.0,23964.0,1057.0,4.2,25148.0,24311.0,837.0,3.3,24877.0,23431.0,1446.0,5.8,45991.0,88.8
7,4013,AZ,Maricopa County,1.0,1.0,1.0,1.0,City,203922.0,164605.0,76788.0,65504.0,39.9,32.2,15.0,12.8,220040.0,307465.0,192183.0,161232.0,25.0,34.9,21.8,18.3,248814.0,342255.0,456012.0,297573.0,18.5,25.5,33.9,22.1,338591.0,446445.0,649040.0,500881.0,17.5,23.1,33.5,25.9,"353,350","644,671","939,477","941,317",12.3,22.4,32.6,32.7,AZ,"Maricopa County, AZ",1.0,1.0,City,1.0,1598523.0,1546575.0,51948.0,3.2,1661301.0,1592148.0,69153.0,4.2,1717779.0,1620415.0,97364.0,5.7,1744428.0,1653332.0,91096.0,5.2,1784961.0,1706380.0,78581.0,4.4,1842737.0,1768406.0,74331.0,4.0,1907614.0,1837930.0,69684.0,3.7,1935839.0,1874182.0,61657.0,3.2,1966052.0,1866392.0,99660.0,5.1,1967563.0,1792986.0,174577.0,8.9,1923669.0,1741749.0,181920.0,9.5,1904041.0,1742147.0,161894.0,8.5,1911529.0,1772341.0,139188.0,7.3,1929092.0,1801272.0,127820.0,6.6,1973683.0,1858871.0,114812.0,5.8,2033488.0,1928852.0,104636.0,5.1,2088551.0,1991371.0,97180.0,4.7,2146260.0,2055052.0,91208.0,4.2,2220491.0,2128730.0,91761.0,4.1,2298810.0,2202716.0,96094.0,4.2,2331628.0,2159267.0,172361.0,7.4,68634.0,110.7
8,4021,AZ,Pinal County,1.0,1.0,1.0,1.0,City,19028.0,8804.0,2546.0,2522.0,57.8,26.8,7.7,7.7,22493.0,16011.0,6867.0,4625.0,45.0,32.0,13.7,9.3,24763.0,22222.0,18860.0,5876.0,34.5,31.0,26.3,8.2,32513.0,36255.0,36157.0,14177.0,27.3,30.4,30.4,11.9,"42,607","87,608","110,668","58,470",14.2,29.3,37.0,19.5,AZ,"Pinal County, AZ",1.0,1.0,City,1.0,69640.0,66458.0,3182.0,4.6,72150.0,68271.0,3879.0,5.4,75952.0,70310.0,5642.0,7.4,78685.0,73154.0,5531.0,7.0,81751.0,76867.0,4884.0,6.0,86792.0,81960.0,4832.0,5.6,102273.0,97047.0,5226.0,5.1,111050.0,106097.0,4953.0,4.5,121870.0,113386.0,8484.0,7.0,126725.0,111541.0,15184.0,12.0,154038.0,137636.0,16402.0,10.6,150364.0,135795.0,14569.0,9.7,149940.0,137136.0,12804.0,8.5,150007.0,137820.0,12187.0,8.1,154678.0,143829.0,10849.0,7.0,158049.0,148079.0,9970.0,6.3,164605.0,155330.0,9275.0,5.6,171890.0,163117.0,8773.0,5.1,180081.0,171088.0,8993.0,5.0,189834.0,180277.0,9557.0,5.0,191074.0,176674.0,14400.0,7.5,62067.0,100.1
9,5035,AR,Crittenden County,1.0,1.0,1.0,1.0,City,15595.0,4744.0,1315.0,1027.0,68.8,20.9,5.8,4.5,13778.0,7451.0,2493.0,1864.0,53.8,29.1,9.7,7.3,12344.0,9005.0,4909.0,2849.0,42.4,30.9,16.9,9.8,9326.0,10024.0,7038.0,3863.0,30.8,33.1,23.3,12.8,"5,385","10,768","9,414","5,400",17.4,34.8,30.4,17.4,AR,"Crittenden County, AR",1.0,1.0,City,1.0,21967.0,21071.0,896.0,4.1,21606.0,20509.0,1097.0,5.1,21531.0,20274.0,1257.0,5.8,21494.0,20073.0,1421.0,6.6,21848.0,20366.0,1482.0,6.8,22317.0,20849.0,1468.0,6.6,22158.0,20633.0,1525.0,6.9,22118.0,20653.0,1465.0,6.6,22307.0,20554.0,1753.0,7.9,21954.0,19594.0,2360.0,10.7,22778.0,20478.0,2300.0,10.1,22636.0,20277.0,2359.0,10.4,22176.0,20135.0,2041.0,9.2,21653.0,19886.0,1767.0,8.2,21584.0,20031.0,1553.0,7.2,21503.0,20198.0,1305.0,6.1,21642.0,20664.0,978.0,4.5,21409.0,20464.0,945.0,4.4,21194.0,20282.0,912.0,4.3,21242.0,20341.0,901.0,4.2,21209.0,19459.0,1750.0,8.3,41976.0,85.6
10,6001,CA,Alameda County,1.0,1.0,1.0,1.0,City,217589.0,197371.0,87675.0,86038.0,37.0,33.5,14.9,14.6,162536.0,215093.0,148837.0,151045.0,24.0,31.7,22.0,22.3,155606.0,190822.0,250389.0,241487.0,18.6,22.8,29.9,28.8,168281.0,181668.0,270813.0,332954.0,17.6,19.0,28.4,34.9,"135,524","205,980","275,053","556,105",11.6,17.6,23.5,47.4,CA,"Alameda County, CA",1.0,1.0,City,1.0,768654.0,741264.0,27390.0,3.6,776398.0,739045.0,37353.0,4.8,771356.0,719228.0,52128.0,6.8,754430.0,702182.0,52248.0,6.9,741445.0,697890.0,43555.0,5.9,734383.0,696983.0,37400.0,5.1,735010.0,702439.0,32571.0,4.4,746245.0,711529.0,34716.0,4.7,756795.0,709639.0,47156.0,6.2,764554.0,682769.0,81785.0,10.7,782680.0,695343.0,87337.0,11.2,785124.0,704596.0,80528.0,10.3,796456.0,726131.0,70325.0,8.8,799847.0,741222.0,58625.0,7.3,806326.0,758819.0,47507.0,5.9,819008.0,779897.0,39111.0,4.8,831827.0,796037.0,35790.0,4.3,838697.0,807652.0,31045.0,3.7,841484.0,815690.0,25794.0,3.1,841075.0,815889.0,25186.0,3.0,813807.0,742411.0,71396.0,8.8,107589.0,133.8
